site_id,year,pixel_row,pixel_col,latitude,longitude,confidence,label
SITE-03,2023,7456,2528,21.921837,85.311568,1.0,Mining
SITE-03,2023,7456,2560,21.921869,85.314666,1.0,Mining
SITE-03,2023,10688,4544,21.631819,85.509716,1.0,Mining
SITE-03,2023,10688,4576,21.631847,85.512808,1.0,Mining
SITE-03,2023,10720,4544,21.628929,85.509746,1.0,Mining
SITE-03,2023,10720,4576,21.628957,85.512837,1.0,Mining
SITE-03,2023,7456,1760,21.921057,85.23724,1.0,Mining
SITE-03,2023,7456,1792,21.92109,85.240337,1.0,Mining
SITE-03,2023,5568,2432,22.092239,85.300245,1.0,Mining
SITE-03,2023,5568,2464,22.092271,85.303346,1.0,Mining
SITE-03,2023,5536,3904,22.09655,85.442856,1.0,Mining
SITE-03,2023,5536,3936,22.09658,85.445957,1.0,Mining
SITE-03,2023,5504,3936,22.09947,85.445925,1.0,Mining
SITE-03,2023,5504,3968,22.099499,85.449026,1.0,Mining
SITE-03,2023,5472,4096,22.102506,85.4614,1.0,Mining
SITE-03,2023,10400,4576,21.657859,85.512541,1.0,Mining
SITE-03,2023,10432,4416,21.65483,85.497112,1.0,Mining
SITE-03,2023,10432,4448,21.654858,85.500204,1.0,Mining
SITE-03,2023,6848,2400,21.976616,85.298527,1.0,Mining
SITE-03,2023,6944,1952,21.967491,85.255258,1.0,Mining
SITE-03,2023,10400,4416,21.65772,85.497082,1.0,Mining
SITE-03,2023,10400,4448,21.657748,85.500174,1.0,Mining
SITE-03,2023,10400,4544,21.657831,85.509449,1.0,Mining
SITE-03,2023,10368,4384,21.660582,85.493961,1.0,Mining
SITE-03,2023,10368,4416,21.66061,85.497052,1.0,Mining
SITE-03,2023,10464,4416,21.651939,85.497142,1.0,Mining
SITE-03,2023,10464,4448,21.651967,85.500234,1.0,Mining
SITE-03,2023,10368,4480,21.660666,85.503236,1.0,Mining
SITE-03,2023,10368,4512,21.660694,85.506328,1.0,Mining
SITE-03,2023,10368,4544,21.660721,85.50942,1.0,Mining
SITE-03,2023,10368,4576,21.660749,85.512511,1.0,Mining
SITE-03,2023,10400,4384,21.657692,85.493991,1.0,Mining
SITE-03,2023,10528,4416,21.646159,85.497202,1.0,Mining
SITE-03,2023,10528,4608,21.646326,85.515751,1.0,Mining
SITE-03,2023,10528,4640,21.646353,85.518843,1.0,Mining
SITE-03,2023,10496,4416,21.649049,85.497172,1.0,Mining
SITE-03,2023,10496,4448,21.649077,85.500264,1.0,Mining
SITE-03,2023,10560,4608,21.643436,85.515781,1.0,Mining
SITE-03,2023,10560,4640,21.643463,85.518872,1.0,Mining
SITE-03,2023,10592,4608,21.640545,85.51581,1.0,Mining
SITE-03,2023,10336,4480,21.663556,85.503206,1.0,Mining
SITE-03,2023,10336,4512,21.663584,85.506298,1.0,Mining
SITE-03,2023,10336,4544,21.663612,85.50939,1.0,Mining
SITE-03,2023,10336,4576,21.663639,85.512482,1.0,Mining
SITE-03,2023,10304,4384,21.666362,85.493901,1.0,Mining
SITE-03,2023,6816,3360,21.980443,85.391445,1.0,Mining
SITE-03,2023,9344,960,21.749721,85.161998,1.0,Mining
SITE-03,2023,9344,992,21.749755,85.165091,1.0,Mining
SITE-03,2023,9344,1024,21.74979,85.168185,1.0,Mining
SITE-03,2023,9344,1056,21.749824,85.171278,1.0,Mining
SITE-03,2023,10304,4480,21.666446,85.503176,1.0,Mining
SITE-03,2023,10304,4512,21.666474,85.506268,1.0,Mining
SITE-03,2023,10336,4384,21.663472,85.493931,1.0,Mining
SITE-03,2023,6784,3360,21.983333,85.391412,1.0,Mining
SITE-03,2023,6784,3392,21.983363,85.394511,1.0,Mining
SITE-03,2023,6944,3200,21.968731,85.376084,1.0,Mining
SITE-03,2023,6944,3232,21.968761,85.379182,1.0,Mining
SITE-03,2023,6944,3264,21.968792,85.38228,1.0,Mining
SITE-03,2023,6944,1984,21.967524,85.258356,1.0,Mining
SITE-03,2023,6848,3616,21.977794,85.416265,1.0,Mining
SITE-03,2023,6848,3648,21.977824,85.419363,1.0,Mining
SITE-03,2023,6944,2048,21.96759,85.264552,1.0,Mining
SITE-03,2023,6944,2432,21.967978,85.301728,1.0,Mining
SITE-03,2023,6944,1920,21.967458,85.25216,1.0,Mining
SITE-03,2023,5504,4096,22.099616,85.461431,1.0,Mining
SITE-03,2023,7456,3168,21.922462,85.373512,1.0,Mining
SITE-03,2023,7456,3200,21.922492,85.376609,1.0,Mining
SITE-03,2023,5536,2432,22.095128,85.300211,1.0,Mining
SITE-03,2023,5536,2464,22.095161,85.303312,1.0,Mining
SITE-03,2023,7424,3712,21.925864,85.426133,1.0,Mining
SITE-03,2023,7424,3744,21.925894,85.429231,1.0,Mining
SITE-03,2023,5504,4064,22.099587,85.45833,1.0,Mining
SITE-03,2023,7424,3776,21.925923,85.432328,1.0,Mining
SITE-03,2023,7424,3200,21.925382,85.376576,1.0,Mining
SITE-03,2023,7424,3232,21.925413,85.379673,1.0,Mining
SITE-03,2023,7424,3424,21.925595,85.398257,1.0,Mining
SITE-03,2023,7424,3456,21.925625,85.401355,1.0,Mining
SITE-03,2023,7424,2496,21.924695,85.308437,1.0,Mining
