site_id,year,pixel_row,pixel_col,latitude,longitude,confidence,label
T45QUE,2021,6496,3904,22.009851,85.443805,0.9847,Mining
T45QUE,2021,8064,3712,21.868064,85.426768,0.9837,Mining
T45QUE,2021,6656,3808,21.995312,85.434666,0.9837,Mining
T45QUE,2021,7520,960,21.91443,85.159892,0.9832,Mining
T45QUE,2021,8128,1888,21.860505,85.250368,0.9827,Mining
T45QUE,2021,7968,896,21.873906,85.154219,0.9827,Mining
T45QUE,2021,7520,3744,21.917224,85.429326,0.9817,Mining
T45QUE,2021,5344,4288,22.11424,85.479883,0.9798,Mining
T45QUE,2021,10400,4416,21.65772,85.497082,0.9796,Mining
T45QUE,2021,4800,9280,22.167167,85.96342,0.9794,Mining
T45QUE,2021,6944,3232,21.968761,85.379182,0.9793,Mining
T45QUE,2021,9248,896,21.758321,85.155701,0.9789,Mining
T45QUE,2021,8160,1856,21.857582,85.247308,0.9772,Mining
T45QUE,2021,5024,4384,22.143227,85.48888,0.9769,Mining
T45QUE,2021,6656,3840,21.995342,85.437765,0.9765,Mining
T45QUE,2021,5056,4384,22.140337,85.488911,0.9763,Mining
T45QUE,2021,7200,3104,21.945519,85.367053,0.9752,Mining
T45QUE,2021,7072,3328,21.957293,85.388607,0.9749,Mining
T45QUE,2021,10368,4448,21.660638,85.500144,0.9747,Mining
T45QUE,2021,7552,3776,21.914363,85.432455,0.9744,Mining
T45QUE,2021,7232,3232,21.942752,85.379477,0.9741,Mining
T45QUE,2021,8032,3712,21.870954,85.426736,0.9736,Mining
T45QUE,2021,8128,1856,21.860472,85.247273,0.9734,Mining
T45QUE,2021,5440,2208,22.10357,85.2784,0.9731,Mining
T45QUE,2021,8064,3744,21.868093,85.429864,0.9727,Mining
T45QUE,2021,10400,4448,21.657748,85.500174,0.9726,Mining
T45QUE,2021,5408,6080,22.109984,85.653632,0.9719,Mining
T45QUE,2021,5440,4000,22.105308,85.452064,0.9717,Mining
T45QUE,2021,7872,3264,21.884984,85.383227,0.9714,Mining
T45QUE,2021,8032,3680,21.870924,85.42364,0.971,Mining
T45QUE,2021,10432,4416,21.65483,85.497112,0.971,Mining
T45QUE,2021,5216,4480,22.125973,85.49837,0.9703,Mining
T45QUE,2021,8256,768,21.847761,85.142173,0.9701,Mining
T45QUE,2021,7328,3712,21.934534,85.426038,0.9701,Mining
T45QUE,2021,7968,864,21.873871,85.151124,0.9694,Mining
T45QUE,2021,5408,2496,22.106752,85.306274,0.9688,Mining
T45QUE,2021,6624,3840,21.998232,85.437733,0.9685,Mining
T45QUE,2021,7456,1792,21.92109,85.240337,0.9682,Mining
T45QUE,2021,8224,768,21.85065,85.142135,0.9674,Mining
T45QUE,2021,7456,2624,21.921932,85.32086,0.9672,Mining
T45QUE,2021,5056,4352,22.140308,85.485809,0.9671,Mining
T45QUE,2021,7424,1792,21.92398,85.240301,0.9671,Mining
T45QUE,2021,10496,4416,21.649049,85.497172,0.9667,Mining
T45QUE,2021,5728,7072,22.081845,85.750041,0.966,Mining
T45QUE,2021,5088,4448,22.137504,85.495146,0.9657,Mining
T45QUE,2021,10688,4448,21.631736,85.500443,0.9656,Mining
T45QUE,2021,5248,4352,22.122968,85.485994,0.9655,Mining
T45QUE,2021,8000,3712,21.873844,85.426704,0.9655,Mining
T45QUE,2021,5600,2464,22.089381,85.303381,0.9651,Mining
T45QUE,2021,5376,2496,22.109642,85.30624,0.9648,Mining
T45QUE,2021,6464,3904,22.012741,85.443773,0.9645,Mining
T45QUE,2021,7264,3264,21.939893,85.382607,0.9645,Mining
T45QUE,2021,4736,7744,22.171933,85.814418,0.9644,Mining
T45QUE,2021,7200,3136,21.94555,85.370151,0.9642,Mining
T45QUE,2021,7552,3744,21.914334,85.429357,0.9642,Mining
T45QUE,2021,5312,4288,22.11713,85.479852,0.964,Mining
T45QUE,2021,5504,3968,22.099499,85.449026,0.9639,Mining
T45QUE,2021,6624,3552,21.997964,85.409843,0.9635,Mining
T45QUE,2021,3680,10784,22.269201,86.108639,0.9633,Mining
T45QUE,2021,7008,3168,21.96292,85.373051,0.9632,Mining
T45QUE,2021,5248,7680,22.125641,85.808601,0.9631,Mining
T45QUE,2021,7872,3520,21.885225,85.407999,0.9624,Mining
T45QUE,2021,7904,1152,21.879961,85.178913,0.9623,Mining
T45QUE,2021,7104,3776,21.954823,85.432011,0.962,Mining
T45QUE,2021,5472,9760,22.106754,86.010394,0.9618,Mining
T45QUE,2021,5344,4416,22.114355,85.49229,0.9617,Mining
T45QUE,2021,7648,1728,21.903686,85.234357,0.9617,Mining
T45QUE,2021,5376,2208,22.10935,85.27833,0.9616,Mining
T45QUE,2021,7360,3648,21.931585,85.419875,0.9611,Mining
T45QUE,2021,5536,3904,22.09655,85.442856,0.9611,Mining
T45QUE,2021,4384,7680,22.203681,85.807943,0.961,Mining
T45QUE,2021,4064,3168,22.228787,85.37,0.9606,Mining
T45QUE,2021,5184,4480,22.128863,85.49834,0.9606,Mining
T45QUE,2021,9280,896,21.755432,85.155738,0.9606,Mining
T45QUE,2021,4704,8768,22.175515,85.913701,0.9605,Mining
T45QUE,2021,3680,2208,22.262503,85.276462,0.9602,Mining
T45QUE,2021,5408,2240,22.106493,85.281466,0.9601,Mining
T45QUE,2021,7488,1792,21.918201,85.240372,0.9601,Mining
T45QUE,2021,7520,3584,21.917075,85.41384,0.96,Mining
T45QUE,2021,6656,3584,21.995104,85.412974,0.9599,Mining
