year,date,filename,n_mining,n_total,area_km2,coverage_pct
2021,20210226,T45QUE_20210226T044741_TCI_10m.jp2,3595,116964,191.8976,1.591713365250945
2021,20210328,T45QUE_20210328T044701_TCI_10m.jp2,3081,116964,153.1904,1.2706527184714052
2021,20210427,T45QUE_20210427T044701_TCI_10m.jp2,3151,116964,176.7424,1.4660070802684797
2021,20211024,T45QUE_20211024T044851_TCI_10m.jp2,1595,116964,123.0848,1.0209388820873189
2021,20211123,T45QUE_20211123T045121_TCI_10m.jp2,1694,116964,124.7232,1.034528750734072
2021,20211223,T45QUE_20211223T045221_TCI_10m.jp2,2327,116964,155.9552,1.293585621812801
2022,20220102,T45QUE_20220102T045211_TCI_10m.jp2,2282,116964,153.6,1.2740501856330935
2022,20220412,T45QUE_20220412T044701_TCI_10m.jp2,2358,116964,142.1312,1.1789211051058224
2022,20220611,T45QUE_20220611T044711_TCI_10m.jp2,2494,116964,161.792,1.3419995288668585
2022,20220830,T45QUE_20220830T044711_TCI_10m.jp2,1782,116964,121.1392,1.0048009130692996
2022,20221029,T45QUE_20221029T044921_TCI_10m.jp2,2007,116964,156.2624,1.296133722184067
2022,20221128,T45QUE_20221128T045131_TCI_10m.jp2,2771,116964,189.0304,1.567931095119127
2023,20230107,T45QUE_20230107T045201_TCI_10m.jp2,4217,116964,246.0672,2.0410283973842156
2023,20230226,T45QUE_20230226T044741_TCI_10m.jp2,3735,116964,193.1264,1.6019057667360095
2023,20230328,T45QUE_20230328T044701_TCI_10m.jp2,3096,116964,160.1536,1.3284096602201054
2023,20230527,T45QUE_20230527T044701_TCI_10m.jp2,2653,116964,170.7008,1.4158944396335778
2023,20231014,T45QUE_20231014T044741_TCI_10m.jp2,1571,116964,113.8688,0.9444958709493332
2023,20231123,T45QUE_20231123T045111_TCI_10m.jp2,2053,116964,135.4752,1.1237122637283885
2024,20240211,T45QUE_20240211T044931_TCI_10m.jp2,2293,116964,157.696,1.308024857249976
2024,20240401,T45QUE_20240401T044701_TCI_10m.jp2,2274,116964,158.3104,1.3131210579925083
2024,20240610,T45QUE_20240610T044701_TCI_10m.jp2,2579,116964,169.8816,1.4090995053102013
2024,20241207,T45QUE_20241207T045201_TCI_10m.jp2,2197,116964,150.7328,1.2502679155012757
2025,20250106,T45QUE_20250106T045201_TCI_10m.jp2,3005,116964,191.5904,1.5891652648796786
2025,20250329,T45QUE_20250329T045231_TCI_10m.jp2,2541,116964,161.1776,1.336903328124326
2025,20250516,T45QUE_20250516T044721_TCI_10m.jp2,2520,116964,172.3392,1.429484308280331
2025,20251114,T45QUE_20251114T045231_TCI_10m.jp2,2788,116964,198.9632,1.650319673790067
2025,20251224,T45QUE_20251224T045241_TCI_10m.jp2,2806,116964,167.2192,1.3870159687592278
